timestamp,detected_object,confidence_level,spray_status
"10/22/2025, 10:21:02 AM",dead crops:55.6%,55.6,off
"10/22/2025, 10:22:05 AM",healthy crops:57.7%,57.7,off
"10/22/2025, 10:22:07 AM",healthy crops:61.2%,61.2,off
"10/22/2025, 10:22:12 AM",dead crops:92.8%,92.8,off
"10/22/2025, 10:22:15 AM",dead crops:92.8%,92.8,off
"10/22/2025, 10:22:17 AM",dead crops:91.8%,91.8,off
"10/22/2025, 10:22:21 AM",dead crops:89.2%,89.2,off
"10/22/2025, 10:22:23 AM",dead crops:78.1%,78.1,off
"10/22/2025, 10:22:25 AM",dead crops:89.3%,89.3,off
"10/22/2025, 10:22:27 AM",dead crops:91.0%,91,off
"10/22/2025, 10:22:32 AM",healthy crops:61.7%,61.7,off
"10/22/2025, 10:22:35 AM",healthy crops:76.4%,76.4,off
"10/22/2025, 10:22:38 AM",healthy crops:75.0%,75,off
"10/22/2025, 10:22:42 AM",healthy crops:67.0%,67,off
"10/22/2025, 10:22:43 AM",healthy crops:66.8%,66.8,off
"10/22/2025, 10:22:45 AM",healthy crops:74.7%,74.7,off
"10/22/2025, 10:22:48 AM",healthy crops:70.0%,70,off
"10/22/2025, 10:22:52 AM",healthy crops:60.9%,60.9,off
"10/22/2025, 10:22:57 AM",healthy crops:65.0%,65,off
"10/22/2025, 10:23:00 AM",healthy crops:82.2%,82.2,off
"10/22/2025, 10:23:06 AM",healthy crops:81.8%,81.8,off
"10/22/2025, 10:23:08 AM",healthy crops:68.4%,68.4,off
"10/22/2025, 10:23:10 AM",healthy crops:79.2%,79.2,off
"10/22/2025, 10:23:12 AM",healthy crops:70.3%,70.3,off
"10/22/2025, 10:23:15 AM",healthy crops:78.6%,78.6,off
"10/22/2025, 10:23:17 AM",healthy crops:50.7%,50.7,off
"10/22/2025, 10:23:20 AM",healthy crops:76.6%,76.6,off
"10/22/2025, 10:23:23 AM",healthy crops:86.2%,86.2,off
"10/22/2025, 10:32:58 AM",dead crops:55.1%,55.1,off
"10/22/2025, 10:33:00 AM","dead crops:57.5%,healthy crops:50.5%",57.5,off
"10/22/2025, 10:33:12 AM",dead crops:87.2%,87.2,off
"10/22/2025, 10:33:15 AM",dead crops:85.7%,85.7,off
"10/22/2025, 10:33:17 AM",dead crops:86.8%,86.8,off
"10/22/2025, 10:33:20 AM",dead crops:93.3%,93.3,off
"10/22/2025, 10:33:27 AM",dead crops:90.6%,90.6,off
"10/22/2025, 10:33:30 AM",dead crops:80.7%,80.7,off
"10/22/2025, 10:33:33 AM",dead crops:86.7%,86.7,off
"10/22/2025, 10:33:36 AM","dead crops:61.3%,healthy crops:55.0%",61.3,off
"10/22/2025, 10:33:38 AM",dead crops:91.5%,91.5,off
"10/22/2025, 10:33:40 AM",dead crops:90.6%,90.6,off
"10/22/2025, 10:33:50 AM",dead crops:58.9%,58.9,off
"10/22/2025, 10:33:55 AM",dead crops:66.6%,66.6,off
"10/22/2025, 10:33:57 AM",dead crops:81.2%,81.2,off
"10/22/2025, 10:34:07 AM",dead crops:89.9%,89.9,off
"10/22/2025, 10:34:10 AM",dead crops:94.8%,94.8,off
"10/22/2025, 10:34:25 AM",healthy crops:86.7%,86.7,off
"10/22/2025, 10:34:30 AM",stressed crops:50.6%,50.6,off
"10/22/2025, 10:34:35 AM",healthy crops:91.9%,91.9,off
"10/22/2025, 10:34:37 AM",healthy crops:89.4%,89.4,off
"10/22/2025, 10:34:40 AM",healthy crops:82.6%,82.6,off
"10/22/2025, 10:34:42 AM",healthy crops:73.7%,73.7,off
"10/22/2025, 10:34:47 AM",dead crops:54.3%,54.3,off
"10/22/2025, 10:34:50 AM",dead crops:77.5%,77.5,off
"10/22/2025, 10:34:52 AM",dead crops:79.1%,79.1,off
"10/22/2025, 10:34:55 AM",dead crops:63.7%,63.7,off
"10/22/2025, 10:34:57 AM",dead crops:62.4%,62.4,off
"10/22/2025, 10:35:00 AM",healthy crops:60.4%,60.4,off
"10/22/2025, 10:35:03 AM",dead crops:62.7%,62.7,off
"10/22/2025, 10:35:05 AM",healthy crops:53.9%,53.9,off
"10/22/2025, 10:35:10 AM",healthy crops:65.6%,65.6,off
"10/22/2025, 10:35:12 AM",dead crops:54.8%,54.8,off
"10/22/2025, 10:35:17 AM",healthy crops:53.1%,53.1,off
"10/22/2025, 10:35:22 AM",dead crops:60.9%,60.9,off
"10/22/2025, 10:35:26 AM",healthy crops:50.2%,50.2,off
"10/22/2025, 10:35:30 AM",dead crops:75.6%,75.6,off
"10/22/2025, 10:35:32 AM",healthy crops:84.8%,84.8,off
"10/22/2025, 10:35:35 AM",healthy crops:80.0%,80,off
"10/22/2025, 10:35:40 AM",healthy crops:69.1%,69.1,off
"10/22/2025, 10:35:44 AM",dead crops:61.2%,61.2,off
"10/22/2025, 10:35:45 AM",healthy crops:61.5%,61.5,off
"10/22/2025, 10:35:48 AM",healthy crops:79.0%,79,off
"10/22/2025, 10:35:56 AM","snail-infested crops:70.9%,dead crops:63.8%",70.9,off
"10/22/2025, 10:36:00 AM","snail-infested crops:67.3%,dead crops:59.7%",67.3,off
"10/22/2025, 10:36:02 AM",snail-infested crops:62.9%,62.9,off
"10/22/2025, 10:36:12 AM",healthy crops:69.6%,69.6,off
"10/22/2025, 10:36:15 AM",healthy crops:66.0%,66,off
"10/22/2025, 10:36:17 AM","healthy crops:80.9%,healthy crops:58.5%",80.9,off
"10/22/2025, 10:36:20 AM",healthy crops:65.2%,65.2,off
"10/22/2025, 10:36:22 AM","healthy crops:80.5%,healthy crops:64.5%",80.5,off
"10/22/2025, 10:36:25 AM","healthy crops:66.3%,healthy crops:57.8%",66.3,off
"10/22/2025, 10:36:27 AM","healthy crops:75.8%,healthy crops:51.2%",75.8,off
"10/22/2025, 10:36:30 AM","healthy crops:72.9%,healthy crops:54.6%",72.9,off
"10/22/2025, 10:36:35 AM","healthy crops:78.5%,healthy crops:65.9%",78.5,off
"10/22/2025, 10:53:53 AM",stressed crops,55.9,off
"10/22/2025, 10:53:56 AM",stressed crops,74.7,off
"10/22/2025, 10:53:56 AM",healthy crops,68.7,off
"10/22/2025, 10:53:56 AM",stressed crops,66.4,off
"10/22/2025, 10:53:56 AM",stressed crops,58.5,off
"10/22/2025, 10:53:56 AM",stressed crops,58.4,off
"10/22/2025, 10:53:56 AM",stressed crops,52.3,off
"10/22/2025, 10:53:56 AM",healthy crops,51.2,off
"10/22/2025, 10:53:58 AM",stressed crops,80.5,off
"10/22/2025, 10:53:58 AM",healthy crops,74.2,off
"10/22/2025, 10:54:01 AM",healthy crops,79.5,off
"10/22/2025, 10:54:03 AM",stressed crops,76.9,off
"10/22/2025, 10:54:06 AM",healthy crops,56.3,off
"10/22/2025, 10:54:11 AM",stressed crops,74.4,off
"10/22/2025, 10:54:16 AM",stressed crops,85.1,off
"10/22/2025, 10:54:18 AM",healthy crops,65.3,off
